X,Y,Z
-0.152344,-0.568069,-1.7664
-0.151477,-0.568397,-1.76648
-0.144531,-0.569347,-1.76243
-0.136719,-0.568914,-1.76427
-0.128906,-0.569872,-1.76019
-0.121094,-0.56233,-1.76505
-0.121094,-0.569517,-1.7617
-0.105469,-0.568942,-1.76415
-0.085995,-0.568397,-1.76648
-0.0820313,-0.570123,-1.75912
-0.0820313,-0.564511,-1.76556
-0.0742188,-0.56934,-1.76246
-0.0742188,-0.563774,-1.76539
-0.0684374,-0.568397,-1.76648
-0.183594,-0.57152,-1.76721
-0.183594,-0.577255,-1.76293
-0.182232,-0.577788,-1.76066
-0.167969,-0.576344,-1.76681
-0.164725,-0.576003,-1.76826
-0.144531,-0.576506,-1.76612
-0.146635,-0.576003,-1.76826
-0.136719,-0.573732,-1.76773
-0.141196,-0.576003,-1.76826
-0.128906,-0.573541,-1.76768
-0.121094,-0.57411,-1.76782
-0.0898438,-0.576407,-1.76654
-0.0845565,-0.576003,-1.76826
-0.0898438,-0.572959,-1.76755
-0.0820313,-0.577345,-1.76254
-0.0823763,-0.577788,-1.76066
-0.0820313,-0.572101,-1.75932
-0.0820313,-0.574205,-1.76784
-0.028529,-0.576003,-1.76826
-0.0273438,-0.57774,-1.76086
-0.0273438,-0.574429,-1.76789
-0.183594,-0.579608,-1.76911
-0.186922,-0.583608,-1.77005
-0.183594,-0.583878,-1.7689
-0.175781,-0.583774,-1.76934
-0.175781,-0.581022,-1.76944
-0.167969,-0.57812,-1.76876
-0.175781,-0.583774,-1.76934
-0.160156,-0.578075,-1.76875
-0.164781,-0.583608,-1.77005
-0.152344,-0.582326,-1.76975
-0.0273438,-0.577173,-1.76854
-0.183594,-0.586898,-1.77082
-0.175781,-0.585284,-1.77044
-0.167969,-0.589143,-1.77135
0.0313454,-0.536188,-1.76694
0.0351563,-0.537161,-1.7628
0.0351563,-0.531847,-1.76592
0.0394108,-0.536188,-1.76694
0.0351563,-0.539898,-1.76781
-0.121094,-0.56027,-1.76691
